taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Euphrasia officinalis,annuals;therophyte;annual,Dry grasslands,Stem erect ,Seeds;Little or no vegetative spread,Stem,0.235;0.35000000000000003,stiff hairs,stiff hairs,,,,cauline;opposite;alternate,oblong;obtuse;simple;cuneate,obtuse;cuneate,rounded;cuneate,toothed;cuneate,glandular hairs,0.6,1,0.6,1,spike,,,,,,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;water;   sheep;bird,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Festuca arundinacea,perennial;perennials;hemicryptophyte,,Stem erect ,Tussock forming graminoid;rhizomes;epigeogeneous stems,rhizomes,0.6;0.6-2;2.0;0.3,glabrous,,,,,,involute;tapering;flat;simple,acute,,entire;involute;flat,glabrous,0.3,1.2,10,60,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,domestic animal;   sheep;   shaken fresh water;   cattle,,,,,,,,,,,,fibrous,,100,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'tabular': 0}}"
Festuca ovina,perennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,Perennial calcareous grassland and basic steppes;[Pinus] taiga woodland;Mixed taiga woodland with [Betula];Arctic. alpine and subalpine scrub habitats;Tundra;Grassland and tall forb habitats;Dry grasslands;Coastal habitats;Coniferous woodland,Stem erect ,Tussock forming graminoid;rhizomes;epigeogeneous stems,rhizomes,0.7000000000000001;0.3;0.06-0.6;0.225; 0.08,,,,,conduplicate,abaxial;adaxial,blunt;simple,acute,,entire;scabrous,,0.07;0.03,0.06;0.12,0.07;3,0.12;25,,,,,,branches,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;bird;water;   pig;   sheep;   sheep-dummy;   cattle;domestic animal,awns;awn;hairless,,,,,,,,,,14,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'text': 12, 'tabular': 0}}"
Festuca rubra,perennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,Grassland and tall forb habitats;Coniferous woodland,Stem erect ,stoloniferous;epigeogeneous stems;hypogeogeneous stems;rhizomatous;Rhizome far creeping,stoloniferous;rhizomatous,0.9;0.3;0.1-1;0.1; 0.45; 0.9,,,,,convolute;conduplicate,abaxial;adaxial,convolute;flat;simple;obtuse,subacute;acute;obtuse,,entire;flat;scabrous,glabrous;soft hairs,0.15;0.05,0.7;0.3,0.03,0.25,panicles;racemes,,,,,branches,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;   sheep;   car or other vehicle;   hay making machinery;   cattle;domestic animal,awns;awned;hairs,,,,,,,,,,28,fibrous,,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 15, 'tabular': 0}}"
Festuca vivipara,perennial;perennials;hemicryptophyte,,Stem erect ,Tussock forming graminoid,,0.07;0.1;0.4;0.44-0.5,,,,,,,simple,acute,,entire,,,,,,,,,,,,green,,,,,,,,,,,wind,,,,,,,,,,,awns,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 3, 'tabular': 9}, 'fna': {'tabular': 0}}"
Filipendula ulmaria,Perennial;perennials;hemicryptophyte,"Moist meadows, roadside and railway ditches, near abandoned houses;Woodland fringes and clearings and tall forb habitats;Broadleaved deciduous woodland;Cultivated areas of gardens and parks",Stem erect ,Rhizome far creeping;epigeogeneous stems;hypogeogeneous stems;Rhizomes,tubers;stem;Stems;Rhizomes,0.6-1.2;0.6;1.2;0.9; 0.875; 0.6,glabrous,,,simple,,terminal;basal,compound,acute,simple,toothed,soft hairs,30,60,30,60,,,,,,convex;concave,white,,cream;white,,hermaphrodite,,,,06-Dec,,,insect,,,,,,,,,,bird;   rabbit;water;   pig;   standing fresh water;domestic animal;   shaken fresh water;   commerce,hairs,,,01-Oct,,,,,,,14,,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'text': 7, 'tabular': 1}}"
Filipendula vulgaris,Perennial;perennials;hemicryptophyte,"Grassland and tall forb habitats;Abandoned gardens and cemeteries, well-drained short grasslands;Broadleaved deciduous woodland;Coniferous woodland",Stem erect ,Rhizome shortly creeping;adventitious buds on roots;epigeogeneous stems;Rhizomes,stems;tubers;Rhizomes;stem;Stems,0.15;0.8;0.475; 0.15; 0.35,glabrous,glabrous,,simple,,basal,compound;lobed,acute;lobed,simple,lobed and toothed,glabrous,2,25,2,25,panicle,,,,,convex;concave;broader,white,,cream;white;purple,,hermaphrodite,,,,06-Dec,,,insect,,,,,,,,,,water;   sheep-dummy;   mouse;   cattle;   shaken fresh water;   clothes and footwear,hairs,,24,10-100,,,,,,,14,fibrous,shallow,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 17}, 'fna': {'text': 7, 'tabular': 1}}"
Galeopsis tetrahit,annuals;therophyte;annual,Regularly or recently cultivated agricultural. horticultural and domestic habitats;Broadleaved deciduous woodland,Stem erect ,Little or no vegetative spread,Stems,1.0;0.1;0.55; 0.4; 0.1,coarse;stiff hairs,stiff hairs,,,,terminal,lanceolate;simple;ovate;acuminate;cuneate,acuminate;acute;ovate;cuneate,cuneate,ovate;serrate;crenate;toothed;acuminate;cuneate,,2.5,10,2.5,10,,,,,,,purple,,,,hermaphrodite,,,,,,,selfed,,,,,,,,,,bird;water;   pig;   goat;   hay making machinery;   seed contamination;   cattle;   shaken fresh water;   standing fresh water,hairs,,4,01-Oct,,,,,,,,tap root,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'tabular': 0}}"
Galium aparine,annuals;strict monocarpic bi-annuals and poly-annuals;therophyte;annual,Regularly or recently cultivated agricultural. horticultural and domestic habitats;Broadleaved deciduous woodland,Stem prostrate ;Stem ascending to prostrate ;Lianas and climbers,Little or no vegetative spread,stems,0.675; 1.3; 0.15;0.15;1.2,hairy;rough;glabrous,glabrous,,,,,oblanceolate;linear;simple,acute;mucronate,,entire;linear,glabrous;stiff hairs,1.2,5,1.2,5,,,,,,,white,,,,hermaphrodite,,,,,,,selfed,,,,,,,,,,bird;water;   pig;   sheep;   car or other vehicle;   sheep-dummy;   hay making machinery;   seed contamination;   cattle;   horse;domestic animal;   shaken fresh water;   standing fresh water;   donkey;   dog,bristles;bristly,,2,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'tabular': 0}}"
Galium debile,perennial;hydrophyte,,"Emergent, attached to the substrate ;Stem ascending to prostrate ;Submerged, attached to the substrate",Rhizome shortly creeping,stems,0.15-0.4;0.05-0.01;0.4;0.275; 0.15;0.15,rough;glabrous;smooth,glabrous,,,,erect,branches;simple;obconical,acute,,branches;entire,prickles,2,3,2,3,,,,,,,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'tabular': 0}}"
Galium palustre,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;Rhizome shortly creeping;hypogeogeneous stems,,0.5;0.3;0.225; 0.5; 0.85; 0.45; 0.15;1.2;0.035;0.003-0.0045,rough;glabrous;smooth,glabrous,,,,,conical;simple,obtuse,,entire,prickles,2,2,2,2,,,,,,cylindrical,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;water;   commerce;   standing fresh water,,,2,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 14}, 'fna': {'tabular': 0}}"
Galium saxatile,perennial;perennials;hemicryptophyte,Coastal stable dune grassland (grey dunes),mat;Stem prostrate ;Stem ascending to prostrate ,Extensively creeping and rooting at nodes,stem,0.15; 0.1; 0.125;0.1;0.2,glabrous;smooth,glabrous,,,,,oblanceolate;obovate;straight;pointing;simple;cylindrical,straight;mucronate,,straight;entire,prickles,1,1.1,1,1.1,,,,,,cuspidate,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,water;   pig;   deer;   cattle;   clothes and footwear;   hare,,,2,01-Oct,,,,,,,,tap root,,50.0-100.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 16}, 'fna': {'tabular': 0}}"
Galium uliginosum,perennial;perennials;helophyte,Dry grasslands;Woodland fringes and clearings and tall forb habitats;Broadleaved deciduous woodland,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,root-splitters;Rhizome shortly creeping,stems,0.6;0.35; 0.1;0.1;0.1-0.6,prickles;rough;glabrous,prickles,,,,,oblanceolate;linear;simple,mucronate,,entire;linear,prickles;glabrous,1,1.5,1,1.5,panicle;corymbs,,,,,,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;   standing fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'tabular': 0}}"
Galium verum,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Coniferous woodland;Perennial calcareous grassland and basic steppes,Stem erect ;procumbent;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;stoloniferous;hypogeogeneous stems;root-splitters;Rhizome far creeping,stoloniferous;stems,0.15;1.0;0.15-1;0.575; 0.15; 0.425,pubescent;glabrous,glabrous,,,,terminal,linear;simple;revolute,mucronate,,entire;linear;revolute,soft hairs,0.05,0.2,0.05,0.2,,,,,,,yellow,,,,hermaphrodite,,,,,,,insect,,,,,black,,,,,   commerce;   sheep;   clothes and footwear;   cattle,,,2,01-Oct,,,,,,,,tap root,deep,100,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 17}, 'fna': {'tabular': 0}}"
Genista anglica,perennials;phanerophyte,,Stem erect ;shrub,root-splitters;seeded;Little or no vegetative spread,Stems,0.3; 0.1; 0.5;0.1;0.5,spines,unarmed;spiny;spines,,,,,simple;ovate,acute;apiculate;ovate,,entire;ovate,glabrous,0.2,0.8,0.2,0.8,,,,,,,yellow,,yellow,,hermaphrodite,,,,,,,insect,pod,inflated,,,,,,,,   cattle,,,12,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 14}, 'fna': {'tabular': 0}}"
Genista pilosa,perennials;phanerophyte,,Stem erect ;shrub;Stem ascending to prostrate ,root-splitters;seeds;Little or no vegetative spread;epigeogeneous stems,Stems,0.295; 0.25; 0.225; 0.1;0.4;0.1,soft hairs,unarmed;soft hairs,,,,,simple;ovate;obtuse,ovate;obtuse,,entire;ovate,hairy;glabrous,0.2,0.5,0.2,0.5,,,,,,branches,yellow,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,hairs,,8,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 15, 'tabular': 14}, 'fna': {'tabular': 0}}"
Geranium robertianum,therophyte;annuals;annual;biennial;strict monocarpic bi-annuals and poly-annuals,Weathered rock and outcrop habitats;Broadleaved deciduous woodland,Stem erect ;procumbent;Stem ascending to prostrate ,Little or no vegetative spread,stems;Stems,0.5;0.1;0.3; 0.1; 0.25,glabrous,glabrous,,,palmate,,broad;compound;obtuse,mucronate;acute;obtuse,,lobed,hairy,,,,,,,,,,,pink,,pink;white,,hermaphrodite,10;two,,,five;2,,,insect,,,,,,,,,,bird;water;   pig;   car or other vehicle;domestic animal;   commerce,hairs,,5,01-Oct,,,,,,,,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 14}, 'fna': {'tabular': 0}}"
Geranium sanguineum,perennial;perennials;hemicryptophyte,,Stem erect ;procumbent;Stem ascending to prostrate ,hypogeogeneous stems;adventitious buds on roots;creeping;Seeds;Rhizome far creeping;rhizome,rhizome;Stems,0.1-0.4;0.4;0.1;0.25; 0.3; 0.1,hairy,hairy,,,,,orbicular;simple;lobed,acute;lobed,,lobed and toothed;entire,hairy,2,6,2,6,,,,,,,purple-crimson,,crimson;pink;white;purplish,,hermaphrodite,,,,,,,insect,,,,,,,,,,domestic animal;water,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}"
Geum rivale,perennial;perennials;hemicryptophyte,"Grassland and tall forb habitats;Swamps, fens, bogs, wet meadows, along streams and lakes, moist rich woods, in circumneutral to alkaline soil;Woodland fringes and clearings and tall forb habitats;Broadleaved deciduous woodland",Stem erect ;Stem ascending to prostrate ,Little or no vegetative spread;epigeogeneous stems;rhizome,stipes;rhizome;Stems,0.4; 0.2; 0.35;0.2-0.6;0.6;0.2,pubescent;soft hairs,soft hairs,,simple;pinnate,,laterals;lateral;basal;cauline;terminal;erect,trilobed;compound;pinnate,obtuse,simple,toothed,soft hairs,6;5,8;40,6;1,40;2,cyme,,,,,campanulate,pink-purple,,pink;pinkish;yellow;cream;purple,,hermaphrodite,20,,,20,,,insect,,,,,,,,,,water;   sheep;   deer;   mouse;   cattle;   standing fresh water;   commerce,awn;bristles;bristly;hairs,,,,,,,,,,42,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 19, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 1}}"
Glaux maritima,perennial;perennials;hemicryptophyte,Coastal saltmarshes and saline reedbeds,procumbent;Stem ascending to prostrate ,hypogeogeneous stems;rhizomatous;stem tubers;seeded;Rhizome far creeping,Stems;rhizomatous,0.2; 0.1; 0.115;0.1;0.3;0.1-0.3,glabrous,glabrous,Yes,,,decussate,elliptic;obovate;simple;oblong;obtuse,acute;obtuse,,entire;elliptic,glabrous,0.4,1.2,0.4,1.2,,,,,,,pink,,,,hermaphrodite,5,,,,,,insect,,,,,,,,,,bird;water;domestic animal;   shaken fresh water,filaments,,10,01-Oct,,,,,,,,,,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 15}, 'fna': {'tabular': 0}}"
Glyceria fluitans,perennial;perennials;hydrophyte,Broadleaved deciduous woodland,"Floating leaves, attached to the substrate ;Stem ascending to prostrate ;Stem prostrate ;Stem erect ;Submerged, attached to the substrate;Emergent, attached to the substrate ",Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;epigeogeneous stems,,0.5;0.9;0.25;0.25-1,glabrous,,,,,,folded;flat;pointed;simple,acute,,entire;flat,glabrous,0.3,25;1,5,25,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   hay making machinery;   standing fresh water;   clothes and footwear,bristle;hairless,,,,,,,,,,40,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 11}, 'fna': {'text': 6, 'tabular': 0}}"
Glyceria maxima,perennial;perennials;hydrophyte,,"Stem erect ;Emergent, attached to the substrate ",rooting horizontal stems at or above soil surface;hypogeogeneous stems;epigeogeneous stems;Rhizomes;Rhizome far creeping,Rhizomes,0.6;0.6-2;2.0;1.3,,,,,,adaxial,simple;pointed,acute,,entire;serrate,glabrous,0.7;0.6,60;2,0.7;30,60,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   sheep;   cattle;   shaken fresh water;   standing fresh water,hairless,,,,,,,,,,60,fibrous,shallow,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 13}, 'fna': {'text': 7, 'tabular': 0}}"
Gymnadenia conopsea,perennials;geophyte,,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;stem;Stem,0.4;0.15;0.3,glabrous,glabrous,,,,basal;erect,folded;lanceolate;simple;blunt;acuminate;oblong;keeled,subacute;acuminate;obtuse,,entire;acuminate,glabrous,0.5,3,6,15,spike,,,,,cylindrical,lilac;magenta;white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,water,,,3960,>1000,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 13}, 'fna': {'tabular': 0}}"
Hammarbya paludosa,perennials;geophyte,,Stem erect ,bulbils;stem tubers;bulb;Little or no vegetative spread,bulb;Stem,0.12;0.03;0.065,glabrous,glabrous,,,sheathing,,concave;simple,concave;obtuse,rounded,entire,,1.00E+02,2.00E+02,1.00E+02,2.00E+02,raceme;spike,,,,,,yellow green,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,absent,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'tabular': 0}}"
Helianthemum nummularium,perennials;chamaephyte,Grassland and tall forb habitats;Perennial calcareous grassland and basic steppes,procumbent;Stem ascending to prostrate ,root-splitters;Little or no vegetative spread;rooting horizontal stems at or above soil surface,,0.05;0.3;0.05-0.3;0.106; 0.125; 0.05; 0.175,,,,,,,oblong;revolute;simple;obtuse,subacute;obtuse,,entire;revolute,glabrous,0.5,2,0.5,2,raceme;cymes,,,,,,yellow,,,,hermaphrodite,,,,,,,insect,capsule,,,ovoid,orange;white;yellow;cream;copper,,,,,water;   sheep;   deer;   goat;   cattle;domestic animal;   shaken fresh water;   clothes and footwear;   commerce;   chamois,,,20,10-100,,,,,,,,tap root,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 15}, 'fna': {'tabular': 0}}"
Heracleum sphondylium,biennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,,Stem erect ,root-splitters;Little or no vegetative spread;epigeogeneous stems,Stems,0.5;2.0;0.5-2;1.25; 0.5; 2.5; 0.675,hispid;stiff hairs,stiff hairs,,pinnate,,cauline,lanceolate;ovate;lobed;compound;pinnate;linear,ovate;lobed;obtuse,,ovate;serrate;crenate;lobed and toothed;linear,stiff hairs,15,60,15,60,,,,,,,white,,greenish;pinkish;white,,gynodioecious,,,,,,,insect,,,,,whitish,,,,,   shaken fresh water;   commerce;   sheep;   cattle,hairs,,2,01-Oct,,,,,,,,tap root,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 15}, 'fna': {'tabular': 0}}"
Hieracium pilosella,perennials;hemicryptophyte,"Cultivated areas of gardens and parks;Disturbed sites (sandy or gravelly soils, fields, lawns, roadsides);Dry. open perennial and annual siliceous grassland. including inland dune grassland;Dry heaths;Grassland and tall forb habitats",Stem erect ,rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;Far creeping stolons in illuminated medium;Stolons;Rhizome,stoloniferous;Stolons;Stem;Rhizome;Stems,0.06;0.05;0.3;0.1-0.25,,,,,,sparse;cauline;basal;Rosette,oblanceolate;elliptic;obovate;simple;blunt;oblong;cuneate,acute;cuneate;obtuse,cuneate,entire;elliptic;cuneate,stiff hairs,0.5,1.2,1,4.5,,,,,,ligulate,yellow,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;bird;water;   sheep;   car or other vehicle;   cattle;   shaken fresh water;   commerce,pappi;bristles;hairs,,130,10-100,,,,,,,,adventitious,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 15}, 'fna': {'text': 12, 'tabular': 1}}"
Holcus lanatus,perennial;perennials;hemicryptophyte,Perennial calcareous grassland and basic steppes,Stem erect ;Stem ascending to prostrate ,Tussock forming graminoid;epigeogeneous stems;rhizomatous,rhizomatous,0.2-1;1.0;0.325;0.2,pubescent,,,,,,flat;simple,acute,,entire;flat,glabrous,0.5;0.3,20;1,0.3;2,20,,bisexual,,,,,green,,,,andromonoecious,,,,,,,wind,,,,,,,,,,   rabbit;bird;water;   pig;   sheep;   deer;   car or other vehicle;   hay making machinery;   cattle;   horse;domestic animal;   shaken fresh water;   standing fresh water;   donkey;   hare,awned;hook;awn;awns;hairs,,,01-Oct,,,,,,,14,fibrous,,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 13}, 'fna': {'text': 9, 'tabular': 0}}"
Holcus mollis,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ,Rhizome far creeping;rhizomes;hypogeogeneous stems;rhizomatous,rhizomes;rhizomatous,0.275;0.2-0.6;1.0;0.2,pubescent,,,,,,flat;simple,acute,,entire;flat,soft hairs,0.3,20;1,0.3;2,20,,bisexual,,,,,green,,,,andromonoecious,,,,,,,wind,,,,,,,,,,   pig;   sheep;   cattle;   shaken fresh water;   clothes and footwear,awned;awn;awns;hair;hairs,,,,,,,,,,28,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 13}, 'fna': {'text': 9, 'tabular': 0}}"
Hydrocotyle vulgaris,perennial;perennials;hemicryptophyte,Pioneer and ephemeral vegetation of periodically inundated shores,Stem prostrate ,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;epigeogeneous stems,,0.3;0.3; 0.125,,,,,peltate,,orbicular;simple,obtuse,,crenate,glabrous,1,5,1,5,,,,,,,white,,greenish;green;pinkish;white,,hermaphrodite,,,,,,,selfed,,,,,,,,,,bird;water,,,2,01-Oct,,,,,,,,adventitious,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 14}, 'fna': {'tabular': 0}}"
Hypericum elodes,perennial;perennials;helophyte,Pioneer and ephemeral vegetation of periodically inundated shores,Stem ascending to prostrate ,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;stoloniferous,stoloniferous;Stems,0.2; 0.1; 0.175;0.1;0.3,tomentose,,,,sessile,,oblong;simple,obtuse,cordate,entire,dense hairs,,,,,,,,,,,yellow,,yellow,,hermaphrodite,3,,,,,,insect,,,,,,,,,,bird;   shaken fresh water,hairs,,75,10-100,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'tabular': 0}}"
Hypericum humifusum,perennial;perennials;annuals;chamaephyte,,Stem prostrate ;procumbent;Stem ascending to prostrate ,root-splitters;Little or no vegetative spread,Stems,0.175; 0.1; 0.04; 0.05;0.05;0.3;0.05-0.2,glabrous,glabrous,,,,,simple,acute,,entire,glandular,1,1.5,1,1.5,cyme,,,,,,yellow,,yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   sheep;   cattle,,,181,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'tabular': 0}}"
Hypericum pulchrum,perennial;perennials;hemicryptophyte,,Stem erect ,root-splitters;adventitious buds on roots;Little or no vegetative spread,Stems,0.9;0.1;0.5; 0.1; 0.425;0.3-0.6,glabrous,,,,,lateral,branches;simple;ovate;obtuse,ovate;obtuse,cordate,branches;entire;ovate,glandular,0.5,1,0.5,1,panicle,,,,,oblong,yellow,,black;red;yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,water;   commerce,,,110,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'tabular': 0}}"
Hypericum tetrapterum,perennial;perennials;hemicryptophyte,,Stem erect ,rooting horizontal stems at or above soil surface;stoloniferous;Shortly creeping stolons in illuminated medium;hypogeogeneous stems,stoloniferous;Stems,1.0;0.1;0.55; 0.1; 0.425;0.3-0.7,glabrous,glabrous,,,sessile,,simple;ovate;obtuse,ovate;obtuse,,entire;ovate,glandular,1,2,1,2,,,,,,,yellow,,yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   commerce;   standing fresh water,,,279,100-1000,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 14}, 'fna': {'tabular': 0}}"
Hypericum undulatum,perennial;hemicryptophyte,,Stem erect ,stoloniferous;Shortly creeping stolons in illuminated medium;rhizomatous,Stems;stoloniferous;rhizomatous,0.575; 0.15;1.0;0.15;0.3-0.6,glabrous,glabrous,,,sessile,,obtuse;simple;ovate;oblong;undulate,ovate;obtuse,,entire;ovate;undulate,glandular,1,2,1,2,,,,,,,yellow,,black;red,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,338,100-1000,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 14, 'tabular': 14}, 'fna': {'tabular': 0}}"
